datetime,AIZ,EQR,MNST,RJF,SO,cash,commission,total,returns,equity_curve
4/3/2012,80380,0,0,73260,90480,-139505,7265,104615,0.045731707,1.04615
4/4/2012,0,0,41640,0,0,59595,7285,101235,-0.032308942,1.01235
4/5/2012,0,0,0,0,89940,11265,7295,101205,-0.00029634,1.01205
4/9/2012,0,121200,0,0,0,-20925,7305,100275,-0.009189269,1.00275
4/10/2012,0,0,40580,0,88720,-30720,7320,98580,-0.016903515,0.9858
4/11/2012,77780,0,0,0,0,23705,7335,101485,0.029468452,1.01485
4/12/2012,0,121040,0,72260,89520,-183595,7355,99225,-0.022269301,0.99225
4/13/2012,77460,0,42840,0,0,-20780,7380,99520,0.002973041,0.9952
4/16/2012,0,0,0,70200,90360,-61640,7400,98920,-0.006028939,0.9892
4/17/2012,79040,0,42520,0,0,-20660,7420,100900,0.020016175,1.009
4/18/2012,0,0,0,0,0,103350,7430,103350,0.024281467,1.0335
4/19/2012,78160,123180,42100,70420,91000,-313495,7455,91365,-0.115965167,0.91365
4/20/2012,0,0,0,0,0,101620,7480,101620,0.112242106,1.0162
4/23/2012,0,0,0,0,0,101620,7480,101620,0,1.0162
4/24/2012,0,124900,0,0,91740,-114490,7490,102150,0.005215509,1.0215
4/25/2012,81600,0,42360,0,0,-17170,7510,106790,0.045423397,1.0679
4/26/2012,0,0,0,0,91780,10275,7525,102055,-0.044339358,1.02055
4/27/2012,81280,0,0,0,0,25645,7535,106925,0.047719367,1.06925
4/30/2012,0,0,43340,73240,91880,-108895,7555,99565,-0.068833294,0.99565
5/1/2012,81140,125160,0,0,0,-102080,7580,104220,0.046753377,1.0422
5/2/2012,0,0,0,0,0,98930,7590,98930,-0.050758012,0.9893
5/3/2012,0,0,44720,0,0,51205,7595,95925,-0.030375013,0.95925
5/4/2012,0,0,0,0,0,98840,7600,98840,0.030388324,0.9884
5/7/2012,0,0,0,0,0,98840,7600,98840,0,0.9884
5/8/2012,0,0,0,0,91400,7875,7605,99275,0.004401052,0.99275
5/9/2012,75360,126260,43540,70660,0,-209810,7630,106010,0.067841853,1.0601
5/10/2012,0,0,0,0,91300,5485,7655,96785,-0.087020092,0.96785
5/11/2012,0,126720,47700,0,0,-74410,7670,100010,0.033321279,1.0001
5/14/2012,75560,0,0,69500,90900,-128515,7695,107445,0.074342566,1.07445
5/15/2012,0,0,0,0,0,97310,7710,97310,-0.09432733,0.9731
5/16/2012,73100,123460,47640,67840,90760,-304495,7735,98305,0.010225054,0.98305
5/17/2012,0,0,0,0,0,91400,7760,91400,-0.070240578,0.914
5/18/2012,70520,120700,0,65340,90960,-257760,7780,89760,-0.017943107,0.8976
5/21/2012,0,0,0,0,0,84620,7800,84620,-0.057263815,0.8462
5/22/2012,0,0,46620,0,91100,-56250,7810,81470,-0.037225242,0.8147
5/23/2012,67700,123940,0,67080,0,-167995,7835,90725,0.113600098,0.90725
5/24/2012,0,0,48640,0,91200,-52540,7860,87300,-0.037751447,0.873
5/25/2012,0,0,0,0,0,91710,7870,91710,0.050515464,0.9171
5/29/2012,66940,125060,48700,0,91740,-245550,7890,86890,-0.052556973,0.8689
5/30/2012,0,0,0,0,0,86990,7910,86990,0.00115088,0.8699
5/31/2012,66760,122200,48400,68360,0,-218630,7930,87090,0.001149557,0.8709
6/1/2012,0,0,0,0,91900,-9375,7955,82525,-0.05241704,0.82525
6/4/2012,65140,118100,48740,64560,0,-222800,7980,73740,-0.10645259,0.7374
6/5/2012,0,0,0,0,92240,-6965,8005,85275,0.15642799,0.85275
6/6/2012,0,123460,49300,67300,0,-155125,8025,84935,-0.003987101,0.84935
6/7/2012,67340,0,0,0,0,19295,8045,86635,0.020015306,0.86635
6/8/2012,0,0,0,0,0,89230,8050,89230,0.029953252,0.8923
6/11/2012,0,0,0,0,0,89230,8050,89230,0,0.8923
6/12/2012,0,0,0,66560,94620,-71080,8060,90100,0.009750084,0.901
6/13/2012,0,121520,49840,0,0,-82060,8080,89300,-0.008879023,0.893
6/14/2012,67420,0,0,66500,95240,-140445,8105,88715,-0.006550952,0.88715
6/15/2012,0,0,0,0,0,88760,8120,88760,0.000507242,0.8876
6/18/2012,0,123860,0,68380,96580,-191895,8135,96925,0.091989635,0.96925
6/19/2012,69320,0,50760,0,0,-23260,8160,96820,-0.001083312,0.9682
6/20/2012,0,121760,0,69020,93520,-192065,8185,92235,-0.047355918,0.92235
6/21/2012,68320,0,49820,0,0,-23950,8210,94190,0.021195858,0.9419
6/22/2012,0,0,0,0,0,95400,8220,95400,0.012846374,0.954
6/25/2012,0,119000,0,0,92500,-124110,8230,87390,-0.083962264,0.8739
6/26/2012,0,0,0,0,0,96440,8240,96440,0.10355876,0.9644
6/27/2012,0,0,47400,0,93200,-45890,8250,94710,-0.017938615,0.9471
6/28/2012,0,121060,0,66260,0,-96630,8270,90690,-0.04244536,0.9069
6/29/2012,0,0,47460,0,92600,-45090,8290,94970,0.047193737,0.9497
7/2/2012,69660,125880,0,69000,0,-167215,8315,97325,0.024797304,0.97325
7/3/2012,0,0,0,0,0,98590,8330,98590,0.012997688,0.9859
7/5/2012,69960,125940,0,69060,92900,-265030,8350,92830,-0.058423775,0.9283
7/6/2012,0,0,48960,0,0,49825,8375,98785,0.064149521,0.98785
7/9/2012,0,0,0,67820,0,26935,8385,94755,-0.040795667,0.94755
7/10/2012,0,0,0,0,93880,-1635,8395,92245,-0.026489367,0.92245
7/11/2012,0,0,47860,0,0,49515,8405,97375,0.05561277,0.97375
7/12/2012,0,0,0,0,0,93130,8410,93130,-0.043594352,0.9313
7/13/2012,68800,129520,49160,68160,95220,-305535,8435,105325,0.130945989,1.05325
7/16/2012,0,0,0,0,0,94680,8460,94680,-0.101068122,0.9468
7/17/2012,69240,130940,47880,68020,95400,-312825,8485,98655,0.041983523,0.98655
7/18/2012,0,0,0,0,0,96570,8510,96570,-0.021134256,0.9657
7/19/2012,68880,0,0,0,0,24145,8515,93025,-0.036709123,0.93025
7/20/2012,0,0,0,0,0,96940,8520,96940,0.042085461,0.9694
7/23/2012,0,127900,0,0,0,-28645,8525,99255,0.023880751,0.99255
7/24/2012,66120,0,43620,65200,94220,-182950,8550,86210,-0.131429147,0.8621
7/25/2012,0,0,0,0,0,96370,8570,96370,0.117851757,0.9637
7/26/2012,0,0,45140,63540,0,-18400,8580,90280,-0.06319394,0.9028
7/27/2012,0,0,0,0,0,95670,8590,95670,0.059703146,0.9567
7/30/2012,72340,0,0,0,0,23205,8595,95545,-0.001306575,0.95545
7/31/2012,0,0,0,67240,96300,-68070,8610,95470,-0.00078497,0.9547
8/1/2012,0,0,0,0,0,94640,8620,94640,-0.008693831,0.9464
8/2/2012,0,0,42760,64800,0,-14890,8630,92670,-0.020815723,0.9267
8/3/2012,73300,125420,0,0,0,-93010,8650,105710,0.140714363,1.0571
8/6/2012,0,0,44020,67240,0,-15650,8670,95610,-0.095544414,0.9561
8/7/2012,72440,122820,0,0,94280,-186095,8695,103445,0.081947495,1.03445
8/8/2012,0,0,0,0,0,95330,8710,95330,-0.078447484,0.9533
8/9/2012,0,120500,40800,68880,0,-136485,8725,93695,-0.017150949,0.93695
8/10/2012,0,0,0,0,93840,4675,8745,98515,0.051443514,0.98515
8/13/2012,0,119520,0,0,0,-26715,8755,92805,-0.057960717,0.92805
8/14/2012,68580,0,39060,70460,93200,-174900,8780,96400,0.038737137,0.964
8/15/2012,0,119120,0,0,0,-27645,8805,91475,-0.051089212,0.91475
8/16/2012,0,0,0,70780,0,24885,8815,95665,0.045804865,0.95665
8/17/2012,69260,0,0,0,0,26735,8825,95995,0.003449537,0.95995
8/20/2012,0,0,0,70220,0,25685,8835,95905,-0.000937549,0.95905
8/21/2012,69260,0,40460,0,0,-13730,8850,95990,0.000886294,0.9599
8/22/2012,0,121860,0,70620,92180,-188895,8875,95765,-0.002343994,0.95765
8/23/2012,67780,0,0,0,0,22165,8895,89945,-0.060773769,0.89945
8/24/2012,0,121640,39840,69840,91760,-230700,8920,92380,0.0270721,0.9238
8/27/2012,68120,0,0,0,0,21975,8945,90095,-0.024734791,0.90095
8/28/2012,0,0,0,0,0,94910,8950,94910,0.053443587,0.9491
8/29/2012,67960,0,0,69820,0,-53740,8960,84040,-0.114529554,0.8404
8/30/2012,0,0,0,0,0,95930,8970,95930,0.141480248,0.9593
8/31/2012,70500,120800,39300,70400,90660,-304375,8995,87285,-0.090117794,0.87285
9/4/2012,0,0,0,0,0,95500,9020,95500,0.094116973,0.955
9/5/2012,0,120660,0,0,0,-24985,9025,95675,0.001832461,0.95675
9/6/2012,0,0,0,0,92140,4625,9035,96765,0.011392736,0.96765
9/7/2012,0,0,38820,0,0,59115,9045,97935,0.012091149,0.97935
9/10/2012,0,0,0,0,91380,5645,9055,97025,-0.009291877,0.97025
9/11/2012,0,0,0,0,0,96160,9060,96160,-0.008915228,0.9616
9/12/2012,74880,118500,0,0,90640,-185675,9075,98345,0.022722546,0.98345
9/13/2012,0,0,0,0,0,94050,9090,94050,-0.043672785,0.9405
9/14/2012,76320,120460,0,0,90100,-187405,9105,99475,0.057682084,0.99475
9/17/2012,0,0,35480,76620,0,-15050,9130,97050,-0.024377984,0.9705
9/18/2012,75200,0,0,0,89920,-72510,9150,92610,-0.045749614,0.9261
9/19/2012,0,0,35840,75520,0,-16710,9170,94650,0.022027859,0.9465
9/20/2012,74860,115100,0,0,0,-96910,9190,93050,-0.016904385,0.9305
9/21/2012,0,0,0,0,90520,2295,9205,92815,-0.002525524,0.92815
9/24/2012,74700,0,36260,74760,0,-94905,9225,90815,-0.021548241,0.90815
9/25/2012,0,113980,0,0,91480,-108250,9250,97210,0.070417883,0.9721
9/26/2012,0,0,0,0,0,96680,9260,96680,-0.005452114,0.9668
9/27/2012,0,0,0,0,0,96680,9260,96680,0,0.9668
9/28/2012,74600,115060,0,0,92180,-186215,9275,95625,-0.010912288,0.95625
10/1/2012,0,0,36680,73460,0,-13380,9300,96760,0.011869281,0.9676
10/2/2012,0,0,0,0,0,97750,9310,97750,0.010231501,0.9775
10/3/2012,76660,114260,36260,73400,91700,-299275,9335,93005,-0.048542199,0.93005
10/4/2012,0,0,0,0,0,100260,9360,100260,0.078006559,1.0026
10/5/2012,79360,113760,0,75000,91940,-264160,9380,95900,-0.043486934,0.959
10/8/2012,0,0,0,0,0,102760,9400,102760,0.071532847,1.0276
10/9/2012,0,0,0,0,0,102760,9400,102760,0,1.0276
10/10/2012,78280,0,0,0,0,20975,9405,99255,-0.034108603,0.99255
10/11/2012,0,0,0,0,0,98250,9410,98250,-0.010125434,0.9825
10/12/2012,78760,0,38060,0,0,-11500,9420,105320,0.071959288,1.0532
10/15/2012,0,112420,0,74480,91300,-185785,9445,92415,-0.122531333,0.92415
10/16/2012,0,0,0,0,0,95540,9460,95540,0.033814857,0.9554
10/17/2012,0,112780,0,0,93080,-112970,9470,92890,-0.027737073,0.9289
10/18/2012,82000,0,37360,76380,0,-88435,9495,107305,0.15518355,1.07305
10/19/2012,0,114260,0,0,0,-25255,9515,89005,-0.170541913,0.89005
10/22/2012,0,0,30480,74380,0,-16230,9530,88630,-0.004213246,0.8863
10/23/2012,77280,112580,0,0,0,-99370,9550,90490,0.020986122,0.9049
10/24/2012,0,0,0,0,0,90000,9560,90000,-0.005414963,0.9
10/25/2012,0,0,0,0,92460,3475,9565,95935,0.065944444,0.95935
10/26/2012,75700,0,30580,76560,0,-89125,9585,93715,-0.023140668,0.93715
10/31/2012,0,0,0,0,0,89500,9600,89500,-0.044976791,0.895
11/1/2012,0,0,30000,0,92040,-27330,9610,94710,0.058212291,0.9471
11/2/2012,0,0,0,0,0,88240,9620,88240,-0.0683138,0.8824
11/5/2012,74940,0,30020,78060,0,-85295,9635,97725,0.107490934,0.97725
11/6/2012,0,117180,0,0,88280,-104000,9660,101460,0.038219493,1.0146
11/7/2012,0,0,0,75920,0,15805,9675,91725,-0.095949143,0.91725
11/8/2012,0,0,0,0,0,90900,9680,90900,-0.008994276,0.909
11/9/2012,0,0,30180,0,0,60395,9685,90575,-0.003575358,0.90575
11/12/2012,72580,112600,0,75960,0,-162445,9705,98695,0.089649462,0.98695
11/13/2012,0,0,0,0,85900,5015,9725,90915,-0.078828715,0.90915
11/14/2012,0,109020,29820,0,0,-54560,9740,84280,-0.072980256,0.8428
11/15/2012,69940,0,0,73700,0,-52840,9760,90800,0.077361177,0.908
11/16/2012,0,108620,30320,0,85380,-141705,9785,82615,-0.090143172,0.82615
11/19/2012,69220,0,0,0,0,22675,9805,91895,0.11232827,0.91895
11/20/2012,0,0,0,0,0,90590,9810,90590,-0.01420099,0.9059
11/21/2012,67960,0,0,0,0,20965,9815,88925,-0.018379512,0.88925
11/23/2012,0,0,0,75820,84060,-70970,9830,88910,-0.000168681,0.8891
11/26/2012,0,108860,30580,0,0,-55570,9850,83870,-0.056686537,0.8387
11/27/2012,67660,0,0,74800,85580,-141115,9875,86925,0.03642542,0.86925
11/28/2012,0,0,34240,0,0,54245,9895,88485,0.017946506,0.88485
11/29/2012,67960,0,0,75740,0,-52850,9910,90850,0.026727694,0.9085
11/30/2012,0,111020,34700,0,0,-57430,9930,88290,-0.028178316,0.8829
12/3/2012,0,0,0,75160,0,15275,9945,90435,0.024294937,0.90435
12/4/2012,0,109960,0,0,0,-20795,9955,89165,-0.014043235,0.89165
12/5/2012,69620,0,0,74620,86920,-144115,9975,87045,-0.023776145,0.87045
12/6/2012,0,111120,34560,0,0,-54640,10000,91040,0.045895801,0.9104
12/7/2012,0,0,0,0,0,91510,10010,91510,0.005162566,0.9151
12/10/2012,0,110180,0,73440,87360,-187505,10025,83475,-0.087804612,0.83475
12/11/2012,0,0,0,0,0,90860,10040,90860,0.088469602,0.9086
12/12/2012,70120,110740,37860,0,0,-127095,10055,91625,0.008419547,0.91625
12/13/2012,0,0,0,0,0,89350,10070,89350,-0.024829468,0.8935
12/14/2012,0,110980,35580,0,0,-58340,10080,88220,-0.012646894,0.8822
12/17/2012,0,0,0,0,0,88030,10090,88030,-0.002153707,0.8803
12/18/2012,71040,112460,35680,78840,87760,-292635,10115,93145,0.058105191,0.93145
12/19/2012,0,0,0,0,0,96000,10140,96000,0.030651135,0.96
12/20/2012,0,113000,0,0,0,-18505,10145,94495,-0.015677083,0.94495
12/21/2012,69580,0,0,78520,86640,-146065,10165,88675,-0.06159056,0.88675
12/24/2012,0,113360,0,0,0,-22265,10185,91095,0.027290668,0.91095
12/26/2012,69680,0,34680,0,0,-10840,10200,93520,0.026620561,0.9352
12/27/2012,0,112860,0,76460,0,-105280,10220,84040,-0.101368691,0.8404
12/28/2012,68600,0,0,0,84660,-64520,10240,88740,0.05592575,0.8874
12/31/2012,0,0,35220,77060,0,-23020,10260,89260,0.005859815,0.8926
1/2/2013,70960,114020,0,0,0,-96640,10280,88340,-0.010306968,0.8834
1/3/2013,0,0,34800,79680,0,-23180,10300,91300,0.033506905,0.913
1/4/2013,0,0,0,0,0,93550,10310,93550,0.024644031,0.9355
1/7/2013,70340,0,0,82020,86780,-150865,10325,88275,-0.056386959,0.88275
1/8/2013,0,0,0,0,0,95220,10340,95220,0.078674596,0.9522
1/9/2013,70880,116000,33560,82860,86120,-303505,10365,85915,-0.097721067,0.85915
1/10/2013,0,0,0,0,0,92710,10390,92710,0.079089798,0.9271
1/11/2013,72380,0,0,83240,86320,-159565,10405,82375,-0.111476648,0.82375
1/14/2013,0,116840,0,0,0,-21045,10425,95795,0.162913505,0.95795
1/15/2013,73560,0,34040,83520,0,-103185,10445,87935,-0.082050211,0.87935
1/16/2013,0,0,0,0,85820,7135,10465,92955,0.057087622,0.92955
1/17/2013,0,0,33220,0,0,64065,10475,97285,0.046581679,0.97285
1/18/2013,0,0,0,0,0,96000,10480,96000,-0.013208614,0.96
1/22/2013,77060,0,0,84560,0,-72610,10490,89010,-0.0728125,0.8901
1/23/2013,0,0,0,0,0,93320,10500,93320,0.048421526,0.9332
1/24/2013,76400,0,31520,87440,0,-106435,10515,88925,-0.047096014,0.88925
1/25/2013,0,116180,0,0,88900,-103500,10540,101580,0.142310936,1.0158
1/28/2013,0,0,0,89100,0,2845,10555,91945,-0.094851349,0.91945
1/29/2013,77660,115500,0,0,89240,-182255,10575,100145,0.089183751,1.00145
1/30/2013,0,0,32120,90080,0,-26560,10600,95640,-0.044984772,0.9564
1/31/2013,76480,110780,0,0,88460,-189985,10625,85735,-0.103565454,0.85735
2/1/2013,0,0,31760,90600,0,-26550,10650,95810,0.117513268,0.9581
2/4/2013,76320,0,0,0,0,12415,10665,88735,-0.073844066,0.88735
2/5/2013,0,0,32220,0,87260,-26200,10680,93280,0.051219924,0.9328
2/6/2013,77620,110460,0,90500,0,-196185,10705,82395,-0.116691681,0.82395
2/7/2013,0,0,32100,0,87660,-30850,10730,88910,0.079070332,0.8891
2/8/2013,0,0,0,0,0,91180,10740,91180,0.025531436,0.9118
2/11/2013,76960,112920,31640,90640,88120,-319685,10765,80595,-0.116089055,0.80595
2/12/2013,0,0,0,0,0,83210,10790,83210,0.032446182,0.8321
2/13/2013,82780,115300,0,0,88340,-199525,10805,86895,0.044285543,0.86895
2/14/2013,0,0,31800,91200,0,-36910,10830,86090,-0.009264054,0.8609
2/15/2013,83680,0,0,0,0,495,10845,84175,-0.022244163,0.84175
2/19/2013,0,115160,33120,0,0,-60340,10860,87940,0.044728245,0.8794
2/20/2013,82580,0,0,90780,89100,-177125,10885,85335,-0.02962247,0.85335
2/21/2013,0,114220,0,0,0,-23985,10905,90235,0.057420754,0.90235
2/22/2013,0,0,0,89860,89480,-92640,10920,86700,-0.039175486,0.867
2/25/2013,80940,0,0,0,0,5045,10935,85985,-0.008246828,0.85985
2/26/2013,0,0,0,87660,0,-2645,10945,85015,-0.011281037,0.85015
2/27/2013,82080,0,0,0,0,4125,10955,86205,0.01399753,0.86205
2/28/2013,0,110080,0,0,0,-18225,10965,91855,0.065541442,0.91855
3/1/2013,0,0,33780,86780,89660,-123765,10985,86455,-0.058788308,0.86455
3/4/2013,83840,111300,0,0,0,-107730,11010,87410,0.011046209,0.8741
3/5/2013,0,0,32700,89520,90720,-126435,11035,86505,-0.010353506,0.86505
3/6/2013,0,0,0,0,0,91010,11050,91010,0.052077915,0.9101
3/7/2013,85160,0,31840,92080,90780,-216670,11070,83190,-0.085924624,0.8319
3/8/2013,0,0,0,0,0,94210,11090,94210,0.132467845,0.9421
3/11/2013,0,0,0,0,0,94210,11090,94210,0,0.9421
3/12/2013,87640,109980,0,0,90400,-194485,11105,93535,-0.007164844,0.93535
3/13/2013,0,0,0,0,0,94680,11120,94680,0.012241407,0.9468
3/14/2013,88420,112780,31420,95100,90740,-321085,11145,97375,0.028464301,0.97375
3/15/2013,0,0,0,0,0,93930,11170,93930,-0.035378691,0.9393
3/18/2013,87940,111180,0,94760,90620,-292270,11190,92230,-0.018098584,0.9223
3/19/2013,0,0,0,0,0,93550,11210,93550,0.014312046,0.9355
3/20/2013,89080,0,34000,0,91580,-123105,11225,91555,-0.021325494,0.91555
3/21/2013,0,108780,0,0,0,-19405,11245,89375,-0.023810824,0.89375
3/22/2013,88040,0,32340,91940,91320,-212170,11270,91470,0.023440559,0.9147
3/25/2013,0,109920,0,0,0,-22175,11295,87745,-0.040723735,0.87745
3/26/2013,88120,0,32560,92000,92280,-216000,11320,88960,0.013846943,0.8896
3/27/2013,0,110120,0,0,0,-21765,11345,88355,-0.006800809,0.88355
3/28/2013,90020,0,31820,92200,93840,-223570,11370,84310,-0.045781223,0.8431
4/1/2013,0,111100,0,0,0,-22135,11395,88965,0.055212905,0.88965
4/2/2013,0,0,32400,0,93640,-37570,11410,88470,-0.005563986,0.8847
4/3/2013,0,0,0,0,0,94020,11420,94020,0.06273313,0.9402
4/4/2013,90740,115040,33520,89060,94460,-342225,11445,80595,-0.142788768,0.80595
4/5/2013,0,0,0,0,0,88250,11470,88250,0.094981078,0.8825
4/8/2013,0,116020,0,0,0,-27435,11475,88585,0.003796034,0.88585
4/9/2013,91280,0,35120,89860,94620,-227260,11500,83620,-0.056047864,0.8362
4/10/2013,0,0,0,0,0,88440,11520,88440,0.057641713,0.8844
4/11/2013,95000,118040,37240,92020,95240,-346105,11545,91435,0.033864767,0.91435
4/12/2013,0,0,0,0,0,88290,11570,88290,-0.034396019,0.8829
4/15/2013,0,0,0,0,94720,-7895,11575,86825,-0.016593046,0.86825
4/16/2013,0,0,0,0,0,88000,11580,88000,0.013532969,0.88
4/17/2013,93440,115340,0,0,95920,-217015,11595,87685,-0.003579545,0.87685
4/18/2013,0,0,0,87100,0,7785,11615,94885,0.082112106,0.94885
4/19/2013,0,0,0,0,0,88360,11620,88360,-0.068767455,0.8836
4/22/2013,93620,0,0,88100,0,-90510,11630,91210,0.032254414,0.9121
4/23/2013,0,0,37800,0,97300,-43550,11650,91550,0.003727661,0.9155
4/24/2013,95380,115380,0,0,0,-121010,11670,89750,-0.019661387,0.8975
4/25/2013,0,0,37900,81720,96180,-127735,11695,88065,-0.018774373,0.88065
4/26/2013,0,113220,0,0,0,-25115,11715,88105,0.00045421,0.88105
4/29/2013,0,0,0,0,0,89360,11720,89360,0.014244368,0.8936
4/30/2013,0,116120,37600,82840,0,-147735,11735,88825,-0.005987019,0.88825
5/1/2013,94680,0,0,0,0,-5395,11755,89285,0.005178722,0.89285
5/2/2013,0,113260,37000,83240,94460,-244480,11780,83480,-0.06501652,0.8348
5/3/2013,94900,0,0,0,0,-4185,11805,90715,0.086667465,0.90715
5/6/2013,0,112580,0,84400,0,-116240,11820,80740,-0.109959764,0.8074
5/7/2013,96120,0,0,0,94540,-98600,11840,92060,0.140203121,0.9206
5/8/2013,0,115060,0,85860,0,-117040,11860,83880,-0.088855095,0.8388
5/9/2013,95040,0,36000,0,92440,-136925,11885,86555,0.031890796,0.86555
5/10/2013,0,0,0,0,0,92380,11900,92380,0.06729825,0.9238
5/13/2013,95900,117460,0,0,0,-128090,11910,85270,-0.076964711,0.8527
5/14/2013,0,0,0,0,0,91920,11920,91920,0.077987569,0.9192
5/15/2013,99140,0,0,89280,0,-95190,11930,93230,0.014251523,0.9323
5/16/2013,0,0,0,0,0,91360,11940,91360,-0.020057921,0.9136
